text,cleaned_text,tokenized_and_lemmatized,sentiment
You went to Israel and figured Palestinians live only in Gaza? You should do better.,You went to Israel and figured Palestinians live only in Gaza You should do better,went israel figured palestinian live gaza better,Positive
#FreePalestine #Israel #WarCrimes https://vm.tiktok.com/ZMjoVSee8/,free palestine israel war crimes,free palestine israel war crime,Negative
"below a list of Palestinian villages depopulated (razed to the ground, or renamed) around the #GazaStrip in 1948.  The 1st column in both screenshots includes Israel's villages built over them. PS Check the case of #Huj, even Wikipedia is enough for that: https://en.wikipedia.org/wiki/Huj,_Gaza",below a list of Palestinian villages depopulated razed to the ground or renamed around the gaza strip in 1948 The 1st column in both screenshots includes Israel s villages built over them PS Check the case of huj even Wikipedia is enough for that,list palestinian village depopulated razed ground renamed around gaza strip column screenshots includes israel village built p check case huj even wikipedia enough,Neutral
Yes because Israel is not a terrorist organization and it does'nt use civilian facilities for  military purposes.,Yes because Israel is not a terrorist organization and it does nt use civilian facilities for military purposes,yes israel terrorist organization nt use civilian facility military purpose,Negative
zionists conflating Israel and Judaism is one of more subtle dirty moves they’ve made so far,zionists conflating Israel and Judaism is one of more subtle dirty moves they ve made so far,zionist conflating israel judaism one subtle dirty move made far,Negative
Israel stole the bomb and killed JFK. #RyanDawsonFilm #NUMEC,Israel stole the bomb and killed JFK ryan dawson film num ec,israel stole bomb killed jfk ryan dawson film num ec,Negative
"""Bana Merhameti Öğret"": Filistin ve diğer mazlum coğrafyalardaki öğretmen ve öğrencilerle empati şarkımız!   ""Teach Me Mercy"": Our song of empathy with teachers and students in Palestine and other oppressed lands!  sung by @MehruSyed1   Full Version:   👇  https://youtu.be/LyOszqlOFy4?si=lHYUZewgnsCFXsSx",Bana Merhameti ret Filistin ve dier mazlum corafyalardaki retmen ve rencilerle empati arkmz Teach Me Mercy Our song of empathy with teachers and students in Palestine and other oppressed lands sung by MehruSyed1 Full Version,bana merhameti ret filistin dier mazlum corafyalardaki retmen rencilerle empati arkmz teach mercy song empathy teacher student palestine oppressed land sung full version,Negative
BREAKING: Gaza's Health Ministry says will stop coordinating with WHO in hospital evacuations after Israel arrested al-Shifa director - follow live updates: https://aje.io/delf2t,BREAKING Gaza s Health Ministry says will stop coordinating with WHO in hospital evacuations after Israel arrested al Shifa director follow live updates,breaking gaza health ministry say stop coordinating hospital evacuation israel arrested al shifa director follow live update,Negative
"2002 • March 29: Israel begins construction of the West Bank barrier, a wall that separates Israel from the Palestinian territories.",2002 March 29 Israel begins construction of the West Bank barrier a wall that separates Israel from the Palestinian territories,march israel begin construction west bank barrier wall separate israel palestinian territory,Negative
5840 children were killed in Gaza in 46 days that’s not including the missing ones under the rubble.,5840 children were killed in Gaza in 46 days that s not including the missing ones under the rubble,child killed gaza day including missing one rubble,Negative
This guy worked in the government. 99-02 he worked on the Israeli Palestine peace process… are you seriously comparing the 2?,This guy worked in the government 99 02 he worked on the Israeli Palestine peace process are you seriously comparing the 2,guy worked government worked israeli palestine peace process seriously comparing,Positive
Martin Luther king Jr,Martin Luther king Jr,martin luther king jr,Neutral
Check out 🏒 Huge 300 + CANADIENS different cards lot 1975 - 2023 17 HOF https://www.ebay.com/itm/186110222579?mkcid=16&mkevt=1&mkrid=711-127632-2357-0&ssspo=Z1DaHEQgTUq&sssrc=2047675&ssuid=Z1DaHEQgTUq&widget_ver=artemis&media=TW #eBay via @eBay Israel Gaza Hamas #AsianGames Steve Cohen Klaus Schwab Tel Aviv Nebraska Palestinian Kansas State OTEV Lido #SmackDown #isles Hockey NHL MLB NFL NBA Habs Montreal,Check out Huge 300 CANADIENS different cards lot 1975 2023 17 HOF ebay via eBay Israel Gaza Hamas asian games Steve Cohen Klaus Schwab Tel Aviv Nebraska Palestinian Kansas State OTEV Lido smackdown isles Hockey NHL MLB NFL NBA Habs Montreal,check huge canadiens different card lot hof ebay via ebay israel gaza hamas asian game steve cohen klaus schwab tel aviv nebraska palestinian kansa state otev lido smackdown isle hockey nhl mlb nfl nba habs montreal,Positive
"👋 🇮🇱 🇵🇸  ""What does Israel want?""❔  Israel wants Palestinians to STOP attacking them; but instead, LOVE Israelis❣️  WHY❔  Because VIOLENCE 😡 hardens them 🇮🇱 against the Palestinians; while LOVE 💕 softens their heavy-handedness towards Palestinians.  💕 Love BREEDS Love. 💕",What does Israel want Israel wants Palestinians to STOP attacking them but instead LOVE Israelis WHY Because VIOLENCE hardens them against the Palestinians while LOVE softens their heavy handedness towards Palestinians Love BREEDS Love,israel want israel want palestinian stop attacking instead love israeli violence hardens palestinian love softens heavy handedness towards palestinian love breed love,Positive
"The ceasefire and hostage release between Israel and Hamas has been delayed until Friday.  Netanyahu says: “We are winning and we are going to continue to fight until we reach absolute victory.""  These are not the words of a man who is remotely interested in a peaceful settlement.",The ceasefire and hostage release between Israel and Hamas has been delayed until Friday Netanyahu says We are winning and we are going to continue to fight until we reach absolute victory These are not the words of a man who is remotely interested in a peaceful settlement,ceasefire hostage release israel hamas delayed friday netanyahu say winning going continue fight reach absolute victory word man remotely interested peaceful settlement,Positive
Here’s an example of what the hostage deal looks like.  Israel receive: 10-month-old Kfir Bibas Crime: Being Jewish  Hamas receive: Misoun Mussa  Crime: Stabbed female soldier Marah Bakeer Crime: Stabbed border cop Asra Jabas Crime: Attempted car bombing  No equivalence.,Here s an example of what the hostage deal looks like Israel receive 10 month old Kfir Bibas Crime Being Jewish Hamas receive Misoun Mussa Crime Stabbed female soldier Marah Bakeer Crime Stabbed border cop Asra Jabas Crime Attempted car bombing No equivalence,example hostage deal look like israel receive month old kfir bibas crime jewish hamas receive misoun mussa crime stabbed female soldier marah bakeer crime stabbed border cop asra jabas crime attempted car bombing equivalence,Negative
"until hamas is eradicated, this will not do anything. Israel will continue until it has fully sweeped through gaza.  you can pretend your little hate-marches had effect when israel decides it has met its objectives and ends its ground operation.",until hamas is eradicated this will not do anything Israel will continue until it has fully sweeped through gaza you can pretend your little hate marches had effect when israel decides it has met its objectives and ends its ground operation,hamas eradicated anything israel continue fully sweeped gaza pretend little hate march effect israel decides met objective end ground operation,Negative
I stand with free Palestine.. I 'm from TURKIYE,I stand with free Palestine I m from TURKIYE,stand free palestine turkiye,Positive
"In Buenos Aires, @rogerwaters earns loud applause going off on the Israel lobby that attempted to deny him entry to the country with phony antisemitism charges",In Buenos Aires rogerwaters earns loud applause going off on the Israel lobby that attempted to deny him entry to the country with phony antisemitism charges,buenos aire rogerwaters earns loud applause going israel lobby attempted deny entry country phony antisemitism charge,Positive
The World needs to hear the statement of Holocaust survivors. Israel has to stop! the USA and UK has to stop funding and arming the occupation.  Enough is Enough!. #GazaGenocide #Gaza #GazaConcentrationCamp,The World needs to hear the statement of Holocaust survivors Israel has to stop the USA and UK has to stop funding and arming the occupation Enough is Enough gaza genocide gaza gazaConcentrationCamp,world need hear statement holocaust survivor israel stop usa uk stop funding arming occupation enough enough gaza genocide gaza gazaconcentrationcamp,Negative
Sad to see the dangerous indoctrination of Australia’s youth at “school strike”  The chant “from the river to sea…” which calls for the annihilation of Israel & Jews is dangerous & destroys opportunities for peace  @theage @australian @theheraldsun @abcnews #schoolstrike @3AW693,Sad to see the dangerous indoctrination of Australia s youth at school strike The chant from the river to sea which calls for the annihilation of Israel Jews is dangerous destroys opportunities for peace theage australian theheraldsun abcnews school strike 3AW693,sad see dangerous indoctrination australia youth school strike chant river sea call annihilation israel jew dangerous destroys opportunity peace theage australian theheraldsun abcnews school strike,Negative
#Israel occupation forces detained paramedics to prevent them from assisting the wounded in the Balata camp in the #WestBank.  They also confiscated their phones and the ambulance's keys.,israel occupation forces detained paramedics to prevent them from assisting the wounded in the Balata camp in the westbank They also confiscated their phones and the ambulance s keys,israel occupation force detained paramedic prevent assisting wounded balata camp westbank also confiscated phone ambulance key,Negative
"Today @David_Cameron hosted the Arab-Islamic Committee in London to discuss cooperation on the crisis in Israel and Gaza.  We are working together to secure the release of all hostages, increase the amount of aid into Gaza, and reach a long-term political solution to the crisis.",Today DavidCameron hosted the Arab Islamic Committee in London to discuss cooperation on the crisis in Israel and Gaza We are working together to secure the release of all hostages increase the amount of aid into Gaza and reach a long term political solution to the crisis,today davidcameron hosted arab islamic committee london discus cooperation crisis israel gaza working together secure release hostage increase amount aid gaza reach long term political solution crisis,Negative
"""Israel has the right to commit geno...""  A Freudian slip? The Prime Minister of Sweden, Ulf Kristersson, nearly stated that Israel has the right to commit genocide before correcting himself to say ""the right to self-defense"".",Israel has the right to commit geno A Freudian slip The Prime Minister of Sweden Ulf Kristersson nearly stated that Israel has the right to commit genocide before correcting himself to say the right to self defense,israel right commit geno freudian slip prime minister sweden ulf kristersson nearly stated israel right commit genocide correcting say right self defense,Negative
"My new ""1 minute of exposing Israel"" video ⬇  Please like/repost/comment on THIS comment so that more people can see the atrocities/lies that Israel is committing  https://x.com/mrbarnicoat/status/1727324081345929449?s=20",My new 1 minute of exposing Israel video Please like repost comment on THIS comment so that more people can see the atrocities lies that Israel is committing,new minute exposing israel video please like repost comment comment people see atrocity lie israel committing,Negative
"A very realistic Palestinian, with pragmatic suggestions. - Sad, no one in the West listens to him.",A very realistic Palestinian with pragmatic suggestions Sad no one in the West listens to him,realistic palestinian pragmatic suggestion sad one west listens,Negative
This guy love when Israel collects their deads sperm,This guy love when Israel collects their deads sperm,guy love israel collect dead sperm,Neutral
"Alright, in that case - does the cuisine in Gaza differ from the rest of Palestine in any way? Do you have any unique dishes? :)",Alright in that case does the cuisine in Gaza differ from the rest of Palestine in any way Do you have any unique dishes,alright case cuisine gaza differ rest palestine way unique dish,Positive
"World Children's Day 2023. EU leaders sit around congratulating themselves for signing the UN Convention on the Rights of the Child, while their ally, Israel, ""defends itself"" by raining white phosphorus on a concentration camp full of children. Well, aren't we great?",World Children s Day 2023 EU leaders sit around congratulating themselves for signing the UN Convention on the Rights of the Child while their ally Israel defends itself by raining white phosphorus on a concentration camp full of children Well aren t we great,world child day eu leader sit around congratulating signing un convention right child ally israel defends raining white phosphorus concentration camp full child well great,Positive
"I woke up today to learn that Israel killed my cousin Rami Abofoul, his wife & his little daughter, & another daughter in critical condition after she lost her leg.  Alongside 13 members of my family's inlaws (Abu Obeid family) who were bombed in their home.",I woke up today to learn that Israel killed my cousin Rami Abofoul his wife his little daughter another daughter in critical condition after she lost her leg Alongside 13 members of my family s inlaws Abu Obeid family who were bombed in their home,woke today learn israel killed cousin ramus abofoul wife little daughter another daughter critical condition lost leg alongside member family inlaws abu obeid family bombed home,Negative
The scale of the horror in Gaza is not properly understood - including by opponents of Israel's murderous onslaught.  This is why.,The scale of the horror in Gaza is not properly understood including by opponents of Israel s murderous onslaught This is why,scale horror gaza properly understood including opponent israel murderous onslaught,Negative
Muslims and other immigrants should establish their states in Europe. Like Israel established in Palestine. Immigrants have the right to have their own states and have the right to defend themselves isn't it?,Muslims and other immigrants should establish their states in Europe Like Israel established in Palestine Immigrants have the right to have their own states and have the right to defend themselves isn t it,muslim immigrant establish state europe like israel established palestine immigrant right state right defend,Positive
"If they’re not from Israel, they’re not Israeli",If they re not from Israel they re not Israeli,israel israeli,Neutral
ISRAEL IS A TERRORIST STATE  AGREE?,ISRAEL IS A TERRORIST STATE AGREE,israel terrorist state agree,Negative
Lol i wonder what israel kids learn?,Lol i wonder what israel kids learn,lol wonder israel kid learn,Positive
just so we're clear they raped those inmates,just so we re clear they raped those inmates,clear raped inmate,Negative
"racists, rapists, and abusers get to thrive in hollywood, but god forbid anyone stand with palestine",racists rapists and abusers get to thrive in hollywood but god forbid anyone stand with palestine,racist rapist abuser get thrive hollywood god forbid anyone stand palestine,Negative
"On Nov 13, 3 protestors disrupted the @GillerPrize  gala to expose @scotiabank's $500 million stake in Israeli arms manufacturing. They were charged; 1700+ writers have signed an open letter appealing to have the charges dropped + to show CanLit solidarity for Palestine. 1/2",On Nov 13 3 protestors disrupted the GillerPrize gala to expose scotiabank s 500 million stake in Israeli arms manufacturing They were charged 1700 writers have signed an open letter appealing to have the charges dropped to show CanLit solidarity for Palestine 1 2,nov protestors disrupted gillerprize gala expose scotiabank million stake israeli arm manufacturing charged writer signed open letter appealing charge dropped show canlit solidarity palestine,Negative
I stand with Palestine and I’m from Scotland,I stand with Palestine and I m from Scotland,stand palestine scotland,Neutral
"As Israel pounds Gaza, BBC journalists accuse broadcaster of bias: In the latest newsroom fallout over the war, BBC journalists say the corporation is failing to humanise Palestinians https://aje.io/5vnkbn",As Israel pounds Gaza BBC journalists accuse broadcaster of bias In the latest newsroom fallout over the war BBC journalists say the corporation is failing to humanise Palestinians,israel pound gaza bbc journalist accuse broadcaster bias latest newsroom fallout war bbc journalist say corporation failing humanise palestinian,Negative
Do not stop using your voice. FREE PALESTINE. CALL FOR A CEASEFIRE. KEEP BOYCOTTING. KEEP LEARNING https://decolonizepalestine.com/?fbclid=PAAaY0VAWIFCif-zt146KdmSr67SparPpqkJ1BhcwlSbAa2o-mia3N_BT7G7E_aem_AeSydm2W91AVoPH8hx-m8-UgcDq8IX4P6pZLQd0MY8bz0PmC054iAzRWdcv4t2--rp8,Do not stop using your voice FREE PALESTINE CALL FOR A CEASEFIRE KEEP BOYCOTTING KEEP LEARNING,stop using voice free palestine call ceasefire keep boycotting keep learning,Negative
Continue the Boycott for Palestine on this year's #BlackFriday2023.  Free Palestine!,Continue the Boycott for Palestine on this year s black friday 2023 Free Palestine,continue boycott palestine year black friday free palestine,Positive
"Look what Hamas did.  Oh, wait. That was Israel.",Look what Hamas did Oh wait That was Israel,look hamas oh wait israel,Neutral
Iran’s President Ebrahim Raeisi says Israel suffered a “humiliating defeat” at the hands of the Palestinian nation and Resistance as they managed to “incapacitate” the regime in its bloody war on the besieged Gaza Strip. https://en.mehrnews.com/news/208729/Israel-suffered-humiliating-defeat-in-Gaza-by-Palestinians,Iran s President Ebrahim Raeisi says Israel suffered a humiliating defeat at the hands of the Palestinian nation and Resistance as they managed to incapacitate the regime in its bloody war on the besieged Gaza Strip,iran president ebrahim raeisi say israel suffered humiliating defeat hand palestinian nation resistance managed incapacitate regime bloody war besieged gaza strip,Negative
Resharing from the Tāmaki for Palestine instagram,Resharing from the Tmaki for Palestine instagram,resharing tmaki palestine instagram,Neutral
Here is a group of Palestinians kidnapped and tortured   You can see many have marks from beating and burns   Torture and rape am extremely common tactic used in Israel,Here is a group of Palestinians kidnapped and tortured You can see many have marks from beating and burns Torture and rape am extremely common tactic used in Israel,group palestinian kidnapped tortured see many mark beating burn torture rape extremely common tactic used israel,Negative
"I stopped breathing when he opened her eyes. He calls her his soul.   Muslim, Arab, Palestinian men - for decades - have been made into threats: to the West, their own societies, to women, their own families. But these are the men we know, the men we love & the men we cry for.",I stopped breathing when he opened her eyes He calls her his soul Muslim Arab Palestinian men for decades have been made into threats to the West their own societies to women their own families But these are the men we know the men we love the men we cry for,stopped breathing opened eye call soul muslim arab palestinian men decade made threat west society woman family men know men love men cry,Negative
Look who is talking.,Look who is talking,look talking,Neutral
They don’t give a damn about pagans.,They don t give a damn about pagans,give damn pagan,Negative
Israeli Prime Minister's office: release of hostages will not be before Friday. #CGTNAmerica,Israeli Prime Minister s office release of hostages will not be before Friday cgt n america,israeli prime minister office release hostage friday cgt n america,Negative
academic weapon turned academic victim,academic weapon turned academic victim,academic weapon turned academic victim,Negative
"It's ALWAYS condemn hamas. condemn hamas. condemn hamas. condemn hamas.   DO YOU EVER CONDEMN ISRAEL FOR 75 FUCKING YEARS OF KILLING US? or is it just bc we're fucking brown that we matter LESS?   they attacked egypt, jordan, and lebanon in one fucking month. DO YOU CONDEMN THEM?",It s ALWAYS condemn hamas condemn hamas condemn hamas condemn hamas DO YOU EVER CONDEMN ISRAEL FOR 75 FUCKING YEARS OF KILLING US or is it just bc we re fucking brown that we matter LESS they attacked egypt jordan and lebanon in one fucking month DO YOU CONDEMN THEM,always condemn hamas condemn hamas condemn hamas condemn hamas ever condemn israel fucking year killing u bc fucking brown matter less attacked egypt jordan lebanon one fucking month condemn,Negative
"“The war in Ukraine cannot but shock, but isn’t the coup in Ukraine and the extermination of the civilian population there and in Palestine shocking?"" asks Putin.",The war in Ukraine cannot but shock but isn t the coup in Ukraine and the extermination of the civilian population there and in Palestine shocking asks Putin,war ukraine shock coup ukraine extermination civilian population palestine shocking asks putin,Negative
"There has been quite some discussion of late on what’s being represented by the blue stripes on the Israeli flag…  Some say, it represents Greater Israel between the Nile & the Euphrates rivers.   But in Gaza I think I found the answer…",There has been quite some discussion of late on what s being represented by the blue stripes on the Israeli flag Some say it represents Greater Israel between the Nile the Euphrates rivers But in Gaza I think I found the answer,quite discussion late represented blue stripe israeli flag say represents greater israel nile euphrates river gaza think found answer,Positive
obviously we all kinda have that phase as teenagers where we like celebrities and stuff but a celebrity should not affect your support for palestine. you shouldn’t be going above and beyond to defend zionists just because they’re in a fun movie or they make good music yk,obviously we all kinda have that phase as teenagers where we like celebrities and stuff but a celebrity should not affect your support for palestine you shouldn t be going above and beyond to defend zionists just because they re in a fun movie or they make good music yk,obviously kinda phase teenager like celebrity stuff celebrity affect support palestine going beyond defend zionist fun movie make good music yk,Positive
"Israel's culture is not a 'Jewish' Culture. The Jewish people belong to an ancient religion. Zionists use bits & pieces of our sacred Judaism and call it their 'culture'. Moreover, Palestinian Jews & Arabs shared a beautiful history together in Pre-Israel Palestine.",Israel s culture is not a Jewish Culture The Jewish people belong to an ancient religion Zionists use bits pieces of our sacred Judaism and call it their culture Moreover Palestinian Jews Arabs shared a beautiful history together in Pre Israel Palestine,israel culture jewish culture jewish people belong ancient religion zionist use bit piece sacred judaism call culture moreover palestinian jew arab shared beautiful history together pre israel palestine,Positive
La bgd I hate it when people suddenly give a shit that I’m posting about Palestine? Why is it their business?? And yea I’ll try and send you some but Icl I don’t follow many because for some reason when I do I get shadow banned,La bgd I hate it when people suddenly give a shit that I m posting about Palestine Why is it their business And yea I ll try and send you some but Icl I don t follow many because for some reason when I do I get shadow banned,la bgd hate people suddenly give shit posting palestine business yea try send icl follow many reason get shadow banned,Negative
WOMEN’S GLOBAL DAY OF ACTION FOR PALESTINE - 26th NOVEMBER 2023  #ArmiesToAqsa #Palestine #Gaza #GazaGenocide   Follow the campaign at:  The Central Media Office of Hizb ut Tahrir  Facebook: Women’s Section CMO – HT Twitter: @WomenForKhilafa Instagram: @WomenShariah5,WOMEN S GLOBAL DAY OF ACTION FOR PALESTINE 26th NOVEMBER 2023 armies to aqsa palestine gaza gazaGenocide Follow the campaign at The Central Media Office of Hizb ut Tahrir Facebook Women s Section CMO HT Twitter WomenForKhilafa Instagram WomenShariah5,woman global day action palestine november army aqsa palestine gaza gazagenocide follow campaign central medium office hizb ut tahrir facebook woman section cmo ht twitter womenforkhilafa instagram,Neutral
"Massive billboards along highways in South Africa! - sponsored by wealthy businessmen with a conscience, unlike most businessmen in EU, UK and US who do not dare to speak the truth - the Israel lobby will call them antisemites and block their business. It is all about the money.   Anecdote: A big storm tore down all the Zionists’ boards.",Massive billboards along highways in South Africa sponsored by wealthy businessmen with a conscience unlike most businessmen in EU UK and US who do not dare to speak the truth the Israel lobby will call them antisemites and block their business It is all about the money Anecdote A big storm tore down all the Zionists boards,massive billboard along highway south africa sponsored wealthy businessmen conscience unlike businessmen eu uk u dare speak truth israel lobby call antisemites block business money anecdote big storm tore zionist board,Positive
